Text_Name	Text_Type	Year	Left	Drittletztes_Wort	Vorletztes_Wort	LetztesWort	Key	Right	Compound	Lemma	Base_Verb	Period	Century	Determiner	Prep_V_ung	Adj	Genitive	Prefix	Syntagma
text_name fontane_kinderjahre_1894	text_texttype Belletristik	1894	: nd denselben Tag noch erfolgte meine	noch	erfolgte	meine	Abmeldung	 bei/bei dem/die uns/wir schräg/schräg gegenüber/gegenüber wohnend		Abmeldung	abmelden	18(5|6|7|8|9).	18..	gen			pre	ab	
text_name faulhaber_instrument_1610	text_texttype Wissenschaft	1610	: sein das ander Exempel vnnd alle andere	vnnd	alle	andere	Abmeſſungen	 /// wie/wie auff/auf mancherley/mancherlei weiß/wissen dieſelbige/d		Abmessung	abmessen	16(0|1|2|3|4).	16..	alle		andere		ab	
text_name mueller_festigkeitslehre_1886	text_texttype Wissenschaft	1886	:  [Formel] , wo [Formel] eine von den	eine	von	den	Querschnittsabmessungen	 abhängige/abhängig Zahl/Zahl ist/sein ./. Die/d einfache/einfach Mo	y	Abmessung	abmessen	18(5|6|7|8|9).	18..	b				ab	
text_name gruber_examen_1703	text_texttype Wissenschaft	1703	: einen ſo weiten Winckel  als bey der	als	bey	der	Abmeſſung	 ſolcher/solch erforſchet/erforschen worden/werden ;/; Endlichen/End		Abmessung	abmessen	17(0|1|2|3|4).	17..	b			post	ab	
text_name kepler_messekunst_1616	text_texttype Wissenschaft	1616	: ir das Feld am tach deß Kegels  ohne	deß	Kegels	ohne	abmeſſung	 der/d laͤhn/Lehnen ./. 20./20. Vom/vom gantz/ganz runden/rund Feld/F		Abmessung	abmessen	16(0|1|2|3|4).	16..		ohne		post	ab	
text_name curtius_sprachforschung_1885	text_texttype Wissenschaft	1885	: , was S. 130 berührt ward , zu der	0	zu	der	Abneigung	 gegen/gegen die/d morphogonischen/morphogonischen Untersuchungen/Unte		Abneigung	abneigen	18(5|6|7|8|9).	18..	b				ab	
text_name pfizer_einheit_1849	text_texttype Gebrauchsliteratur	1849	:  wohl auch nicht übel ein ; und die	;	und	die	Abneigung	 ,/, die/d Eiferſucht/Eifersucht ,/, der/d Haß/Haß mancher/manche ,		Abneigung	abneigen	18(0|1|2|3|4).	18..	b				ab	
text_name curtius_sprachforschung_1885	text_texttype Wissenschaft	1885	: rphogonischen Untersuchungen . Trotz dieser	.	Trotz	dieser	Abneigung	 bringt/bringen gleich/gleich das/d erste/erst Heft/Heft von/von Ostho		Abneigung	abneigen	18(5|6|7|8|9).	18..	dies				ab	
text_name jahn_rede_1849	text_texttype Gebrauchsliteratur	1849	:  rein Empirische eine natürliche	Empirische	eine	natürliche	Abneigung	 und/und liess/lassen ein/eine auf/auf diesem/diese Wege/Weg gewonnene		Abneigung	abneigen	18(0|1|2|3|4).	18..	u		natürlich		ab	
text_name vertrag_westfaelischer_1648	text_texttype Gebrauchsliteratur	1649	: en Schulden-Last  betreffend die	Schulden-Last	betreffend	die	Abnutzung	 /// Jnteressen/Interesse oder/oder Vnkosten/Unkosten /// so/so vermö		Abnutzung	abnutzen	16(0|1|2|3|4).	16..	b				ab	
